DTE,BARRIS,MITJANA
1,"1. el Raval",2716
1,"2. el Barri Gòtic",3109
1,"3. la Barceloneta",3618
1,"4. Sant Pere, Santa Caterina i la Ribera",3511
2,"5. el Fort Pienc",3401
2,"6. la Sagrada Família",3501
2,"7. la Dreta de l Eixample",
2,"8. l Antiga Esquerra de l Eixample",3840
2,"9. la Nova Esquerra de l Eixample",3665
2,"10. Sant Antoni",3318
3,"11. el Poble Sec-AEI Parc Montjuïc",2679
3,"12. la Marina del Prat Vermell-AEI Zona Franca",
3,"13. la Marina de Port",2773
3,"14. la Font de la Guatlla",
3,"15. Hostafrancs",2793
3,"16. la Bordeta",2866
3,"17. Sants-Badal",3020
3,"18. Sants",2996
4,"19. les Corts",4040
4,"20. la Maternitat i Sant Ramon",3649
4,"21. Pedralbes",5519
5,"22. Vallvidrera, el Tibidabo i les Planes",
5,"23. Sarrià",5080
5,"24. les Tres Torres",5261
5,"25. Sant Gervasi-la Bonanova",4396
5,"26. Sant Gervasi-Galvany",4263
5,"27. el Putxet i el Farró",3940
6,"28. Vallcarca i els Penitents",3649
6,"29. el Coll",2815
6,"30. la Salut",3407
6,"31. la Vila de Gràcia",3558
6,"32. el Camp d en Grassot i Gràcia Nova",3613
7,"33. el Baix Guinardó",2908
7,"34. Can Baró",
7,"35. el Guinardó",2926
7,"36. la Font d en Fargues",3113
7,"37. el Carmel",2451
7,"38. la Teixonera",2203
7,"39. Sant Genís dels Agudells",
7,"40. Montbau",
7,"41. la Vall d Hebron",
7,"42. la Clota",
7,"43. Horta",2951
8,"44. Vilapicina i la Torre Llobeta",2819
8,"45. Porta",2737
8,"46. el Turó de la Peira",
8,"47. Can Peguera",
8,"48. la Guineueta",
8,"49. Canyelles",
8,"50. les Roquetes (1)",2326
8,"51. Verdun",
8,"52. la Prosperitat",2608
8,"53. la Trinitat Nova",
8,"54. Torre Baró",
8,"55. Ciutat Meridiana (2)",1801
8,"56. Vallbona",
9,"57. la Trinitat Vella",2049
9,"58. Baró de Viver",
9,"59. el Bon Pastor",
9,"60. Sant Andreu",2904
9,"61. la Sagrera",2908
9,"62. el Congrés i els Indians",
9,"63. Navas",2806
10,"64. el Camp de l Arpa del Clot",2917
10,"65. el Clot",3034
10,"66. el Parc i la Llacuna del Poblenou (3)",3271
10,"67. la Vila Olímpica del Poblenou",
10,"68. el Poblenou",3751
10,"69. Diagonal Mar i el Front Marítim del Poblenou",4791
10,"70. el Besòs i el Maresme",2337
10,"71. Provençals del Poblenou",3213
10,"72. Sant Martí de Provençals",
10,"73. la Verneda i la Pau",
