Dte,Barris,Total,AbansDeMilNouCents,DeMilNouCentsAMilNouCentsVint,DeMilNouCentsVintUAMilNouCentsQuaranta,"DeMilNouCentsQuarantaUAMilNouCentsCinquanta ",DeMilNouCentsCinquantaUAMilNouCentsSeixanta,DeMilNouCentsSeixantaUAMilNouCentsSetanta,DeMilNouCentsSetantaUAMilNouCentsVuitanta,DeMilNouCentsVuitantaUAMilNouCentsNouranta,DeMilNouCentsNourantaUADosMilU,DeDosMilDosADosMilOnze,NC
BARCELONA,,811.106,54.652,53.451,69.958,45.981,89.029,187.283,174.346,42.498,40.870,35.649,17.388
1,"1. el Raval",22.087,9.528,4.667,2.344,906,387,926,619,510,1.236,759,..
1,"2. el Barri Gòtic",10.070,7.364,1.277,558,..,..,..,..,..,..,..,..
1,"3. la Barceloneta",9.864,1.360,2.339,2.993,1.204,367,379,261,632,..,178,..
1,"4. Sant Pere, Santa Caterina i la Ribera",13.642,8.968,1.228,1.197,..,127,407,214,..,290,805,..
2,"5. el Fort Pienc",16.255,885,1.392,1.998,1.061,1.156,3.022,4.759,819,465,593,105
2,"6. la Sagrada Família",27.641,470,1.468,5.067,2.684,4.185,4.806,3.924,2.156,1.393,543,944
2,"7. la Dreta de l'Eixample",22.765,3.962,5.107,4.333,1.388,1.221,1.746,2.425,1.005,693,619,267
2,"8. l'Antiga Esquerra de l'Eixample",23.900,3.583,4.786,3.421,1.906,1.493,3.881,3.190,791,..,247,377
2,"9. la Nova Esquerra de l'Eixample",32.399,1.071,2.728,5.629,2.536,2.781,4.997,8.392,931,1.013,1.507,813
2,"10. Sant Antoni",20.442,4.740,3.768,2.152,1.455,1.321,3.306,1.996,496,434,254,519
3,"11. el Poble Sec - AEI Parc Montjuïc",19.084,1.422,3.106,5.182,2.232,1.368,2.006,2.692,310,450,289,..
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",379,..,..,..,..,..,..,..,..,172,..,..
3,"13. la Marina de Port",12.360,..,..,..,202,1.065,2.563,3.575,1.943,1.704,1.088,122
3,"14. la Font de la Guatlla",5.068,..,152,661,264,324,625,1.778,296,285,341,271
3,"15. Hostafrancs",7.916,417,1.884,936,399,221,943,1.712,509,370,264,261
3,"16. la Bordeta",9.365,247,247,544,710,993,2.474,2.258,523,276,900,193
3,"17. Sants - Badal",12.327,..,508,976,718,2.081,3.991,2.885,311,443,..,..
3,"18. Sants",23.950,1.588,2.582,3.181,1.495,2.763,4.481,4.779,695,1.307,311,769
4,"19. les Corts",25.899,..,561,1.533,1.886,1.954,6.478,7.881,2.370,1.109,1.394,641
4,"20. la Maternitat i Sant Ramon",13.298,..,..,475,314,1.327,3.051,6.111,1.089,323,309,272
4,"21. Pedralbes",5.048,..,..,..,367,396,732,2.420,606,..,372,..
5,"22. Vallvidrera, el Tibidabo i les Planes",2.057,..,..,424,279,198,367,151,170,153,..,..
5,"23. Sarrià",10.941,544,451,529,603,1.454,2.303,2.787,1.077,484,683,..
5,"24. les Tres Torres",6.900,..,163,319,474,574,2.239,1.746,381,474,422,..
5,"25. Sant Gervasi - la Bonanova",12.685,..,..,315,1.565,3.129,3.317,2.744,716,659,166,..
5,"26. Sant Gervasi - Galvany",25.629,224,604,2.588,3.046,3.669,7.326,5.599,927,375,414,857
5,"27. el Putxet i el Farró",16.517,244,248,792,1.854,1.923,4.334,4.917,1.642,..,231,202
6,"28. Vallcarca i els Penitents",7.805,..,..,473,530,907,1.637,1.997,1.062,478,482,..
6,"29. el Coll",3.672,..,..,..,204,717,606,1.185,431,210,207,..
6,"30. la Salut",6.118,..,168,335,431,702,1.013,2.328,745,192,..,120
6,"31. la Vila de Gràcia",29.920,3.396,5.472,6.581,3.283,1.863,2.644,3.524,1.437,576,800,345
6,"32. el Camp d'en Grassot i Gràcia Nova",17.991,222,574,2.400,2.421,1.268,2.692,5.040,1.379,948,510,536
7,"33. el Baix Guinardó",12.750,..,..,669,884,2.786,3.847,3.157,641,210,153,336
7,"34. Can Baró",3.995,..,..,181,295,924,1.009,979,291,..,179,..
7,"35. el Guinardó",17.638,..,297,563,1.058,4.343,6.234,2.940,690,596,813,..
7,"36. la Font d'en Fargues",4.500,..,..,315,453,990,1.171,910,375,..,..,..
7,"37. el Carmel",13.509,..,..,407,243,2.008,6.442,2.968,382,238,746,..
7,"38. la Teixonera",5.551,..,..,..,..,634,2.067,1.414,261,649,301,..
7,"39. Sant Genís dels Agudells",3.143,..,..,..,..,408,1.135,1.063,272,124,110,..
7,"40. Montbau",2.322,..,..,..,..,192,1.688,256,..,..,..,..
7,"41. la Vall d'Hebron",2.452,..,..,..,..,..,762,752,326,536,..,..
7,"42. la Clota",197,..,..,..,..,..,..,..,..,..,..,..
7,"43. Horta",12.309,132,212,316,609,2.691,3.506,3.206,551,828,118,141
8,"44. Vilapicina i la Torre Llobeta",12.183,..,..,357,424,1.917,5.551,2.284,412,218,754,165
8,"45. Porta",12.500,..,..,..,..,1.334,6.485,1.942,371,474,1.104,599
8,"46. el Turó de la Peira",7.219,..,..,..,218,2.465,2.675,685,114,939,..,..
8,"47. Can Peguera",1.514,..,221,348,..,..,..,..,..,178,..,198
8,"48. la Guineueta",7.538,..,..,..,..,..,3.949,2.869,..,..,..,681
8,"49. Canyelles",2.714,..,..,..,..,..,..,2.714,..,..,..,..
8,"50. les Roquetes",6.037,..,..,..,..,1.274,2.708,1.554,254,..,..,..
8,"51. Verdun",5.969,..,..,..,..,1.688,2.909,564,..,276,268,..
8,"52. la Prosperitat",12.476,..,..,..,199,663,6.595,3.655,408,421,215,254
8,"53. la Trinitat Nova",3.006,..,..,..,..,2.075,507,..,..,..,372,..
8,"54. Torre Baró",735,..,..,..,..,212,250,..,..,..,..,..
8,"55. Ciutat Meridiana",4.836,..,..,..,..,273,3.086,1.477,..,..,..,..
8,"56. Vallbona",428,..,..,..,..,..,..,..,..,..,209,..
9,"57. la Trinitat Vella",3.554,..,..,..,..,385,1.613,774,236,384,..,..
9,"58. Baró de Viver",1.148,..,..,..,..,..,..,..,254,488,337,..
9,"59. el Bon Pastor",5.039,..,..,979,..,503,1.072,871,124,..,1.270,..
9,"60. Sant Andreu",27.761,754,604,1.220,532,2.224,6.243,9.112,1.869,1.824,2.124,1.257
9,"61. la Sagrera",13.978,..,255,148,175,607,5.016,4.582,858,556,1.475,281
9,"62. el Congrés i els Indians",6.656,..,..,..,139,2.881,2.433,831,116,..,..,..
9,"63. Navas",11.920,..,..,266,868,2.847,2.538,2.605,535,403,472,1.325
10,"64. el Camp de l'Arpa del Clot",20.849,1.040,2.297,1.851,847,1.556,4.112,5.863,1.360,744,760,421
10,"65. el Clot",12.562,578,549,1.042,196,968,1.638,3.870,1.065,1.453,744,458
10,"66. el Parc i la Llacuna del Poblenou",7.301,..,402,479,173,866,1.243,2.123,287,261,1.083,330
10,"67. la Vila Olímpica del Poblenou",3.935,..,..,..,..,..,313,..,189,2.413,706,..
10,"68. el Poblenou",15.970,1.285,1.811,1.496,1.023,1.467,1.128,1.648,833,2.520,2.529,230
10,"69. Diagonal Mar i el Front Marítim del Poblenou",6.746,..,..,..,..,..,608,638,..,4.178,1.049,120
10,"70. el Besòs i el Maresme",8.441,..,..,..,..,1.919,4.482,1.351,..,..,421,..
10,"71. Provençals del Poblenou",9.953,..,487,470,321,693,1.305,2.688,1.610,719,1.496,165
10,"72. Sant Martí de Provençals",12.426,..,..,..,..,2.368,5.938,2.380,588,684,..,392
10,"73. la Verneda i la Pau",13.353,..,..,..,..,330,5.394,5.389,894,792,195,358
