Dte,Barris,Total,Ruinos,Dolent,Deficient,Bo,NC
BARCELONA,,684.078,801,5.882,45.509,615.482,16.403
1,"1. el Raval",17.752,..,950,5.450,11.115,..
1,"2. el Barri Gòtic",8.209,..,..,2.012,5.929,..
1,"3. la Barceloneta",8.164,..,306,1.854,5.972,..
1,"4. Sant Pere, Santa Caterina i la Ribera",10.380,..,203,2.599,7.459,..
2,"5. el Fort Pienc",13.166,..,268,721,12.072,105
2,"6. la Sagrada Família",23.509,..,332,1.805,20.489,884
2,"7. la Dreta de l'Eixample",18.660,..,..,812,17.488,267
2,"8. l'Antiga Esquerra de l'Eixample",17.932,..,..,825,16.661,377
2,"9. la Nova Esquerra de l'Eixample",27.115,..,..,2.956,23.324,734
2,"10. Sant Antoni",17.554,..,373,1.441,15.268,458
3,"11. el Poble Sec - AEI Parc Montjuïc",16.516,..,341,1.372,14.748,..
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",309,..,..,..,242,..
3,"13. la Marina de Port",11.998,..,..,..,11.624,122
3,"14. la Font de la Guatlla",4.532,..,..,..,4.199,271
3,"15. Hostafrancs",6.820,..,..,641,5.948,205
3,"16. la Bordeta",8.220,..,..,328,7.662,193
3,"17. Sants - Badal",10.195,..,..,900,9.221,..
3,"18. Sants",19.229,..,281,2.570,15.544,769
4,"19. les Corts",19.488,..,..,389,18.407,641
4,"20. la Maternitat i Sant Ramon",9.720,..,..,..,9.356,272
4,"21. Pedralbes",4.007,..,..,..,3.940,..
5,"22. Vallvidrera, el Tibidabo i les Planes",1.026,..,..,134,797,..
5,"23. Sarrià",9.428,..,..,204,9.157,..
5,"24. les Tres Torres",5.687,..,..,..,5.588,..
5,"25. Sant Gervasi - la Bonanova",9.715,..,..,508,9.182,..
5,"26. Sant Gervasi - Galvany",18.387,..,189,185,17.467,507
5,"27. el Putxet i el Farró",12.765,..,..,534,12.073,142
6,"28. Vallcarca i els Penitents",7.349,..,..,164,7.048,..
6,"29. el Coll",3.387,..,..,313,2.971,..
6,"30. la Salut",5.274,..,..,..,5.084,120
6,"31. la Vila de Gràcia",23.468,..,416,1.757,20.950,345
6,"32. el Camp d'en Grassot i Gràcia Nova",15.538,..,..,644,14.323,480
7,"33. el Baix Guinardó",11.792,..,..,154,11.281,336
7,"34. Can Baró",3.832,..,..,1.005,2.757,..
7,"35. el Guinardó",16.007,..,..,1.055,14.847,..
7,"36. la Font d'en Fargues",3.849,..,..,..,3.698,..
7,"37. el Carmel",12.620,..,..,640,11.855,..
7,"38. la Teixonera",4.989,..,..,..,4.884,..
7,"39. Sant Genís dels Agudells",2.816,..,..,..,2.670,..
7,"40. Montbau",2.128,..,..,..,2.011,..
7,"41. la Vall d'Hebron",2.167,..,..,..,2.091,..
7,"42. la Clota",197,..,..,..,..,..
7,"43. Horta",11.154,..,..,321,10.617,141
8,"44. Vilapicina i la Torre Llobeta",11.095,..,..,357,10.515,165
8,"45. Porta",11.072,..,..,656,9.808,599
8,"46. el Turó de la Peira",6.321,..,..,920,5.357,..
8,"47. Can Peguera",987,..,..,..,760,198
8,"48. la Guineueta",6.898,..,..,..,6.217,681
8,"49. Canyelles",2.619,..,..,..,2.619,..
8,"50. les Roquetes",5.312,..,..,349,4.861,..
8,"51. Verdun",5.780,..,..,193,5.466,..
8,"52. la Prosperitat",11.005,..,..,878,9.829,254
8,"53. la Trinitat Nova",2.522,..,..,..,2.510,..
8,"54. Torre Baró",517,..,..,..,463,..
8,"55. Ciutat Meridiana",3.730,..,..,..,3.717,..
8,"56. Vallbona",428,..,..,..,428,..
9,"57. la Trinitat Vella",3.092,..,..,..,2.874,..
9,"58. Baró de Viver",890,..,..,..,794,..
9,"59. el Bon Pastor",4.336,..,396,..,3.859,..
9,"60. Sant Andreu",24.576,..,234,758,22.327,1.257
9,"61. la Sagrera",12.167,..,..,..,11.798,281
9,"62. el Congrés i els Indians",5.963,..,..,..,5.963,..
9,"63. Navas",10.659,..,..,230,9.087,1.325
10,"64. el Camp de l'Arpa del Clot",16.993,..,..,672,15.727,421
10,"65. el Clot",11.700,..,..,576,10.590,458
10,"66. el Parc i la Llacuna del Poblenou",6.202,..,..,148,5.696,330
10,"67. la Vila Olímpica del Poblenou",3.746,..,..,..,3.664,..
10,"68. el Poblenou",13.723,..,173,1.393,11.916,230
10,"69. Diagonal Mar i el Front Marítim del Poblenou",5.734,..,..,..,5.540,120
10,"70. el Besòs i el Maresme",7.611,..,..,1.509,5.988,..
10,"71. Provençals del Poblenou",8.343,..,..,557,7.571,165
10,"72. Sant Martí de Provençals",11.322,..,..,291,10.638,392
10,"73. la Verneda i la Pau",11.683,..,..,479,10.846,358
