Dte.,Barris,TOTAL,"1 habitació","2 habitacions","3 habitacions","4 habitacions","5 habitacions","6 habitacions","7 habitacions","8 habitacions","9 habitacions i més"
1,"1. el Raval",17.752,1.044,2.553,4.650,4.610,3.192,1.098,251,247,..
1,"2. el Barri Gòtic",8.209,334,1.076,1.265,2.138,1.570,1.146,420,202,..
1,"3. la Barceloneta",8.164,554,1.915,2.875,1.650,891,225,..,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",10.380,825,1.959,2.207,2.204,1.914,827,187,..,171
2,"5. el Fort Pienc",13.166,184,565,1.552,3.553,4.203,2.518,369,..,..
2,"6. la Sagrada Família",23.509,247,1.063,3.523,7.104,6.703,4.225,501,..,..
2,"7. la Dreta de l'Eixample",18.660,530,1.146,2.368,3.700,4.057,3.733,1.484,1.039,604
2,"8. l'Antiga Esquerra de l'Eixample",17.932,162,919,2.320,4.565,4.846,3.508,1.064,341,208
2,"9. la Nova Esquerra de l'Eixample",27.115,491,999,3.650,6.386,8.374,6.325,598,206,..
2,"10. Sant Antoni",17.554,348,910,2.400,4.442,5.123,3.393,650,131,157
3,"11. el Poble Sec - AEI Parc Montjuïc",16.516,499,1.524,3.759,4.635,4.585,1.156,263,..,..
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",309,..,..,..,..,..,..,..,..,..
3,"13. la Marina de Port",11.998,351,454,2.188,3.383,4.303,1.203,..,..,..
3,"14. la Font de la Guatlla",4.532,..,384,947,1.060,1.398,584,..,..,..
3,"15. Hostafrancs",6.820,197,542,1.132,1.802,1.828,1.057,146,..,..
3,"16. la Bordeta",8.220,..,267,1.177,2.495,2.729,1.225,..,..,..
3,"17. Sants - Badal",10.195,..,461,1.476,3.093,3.490,1.434,115,..,..
3,"18. Sants",19.229,318,1.220,3.313,5.177,5.751,2.845,334,247,..
4,"19. les Corts",19.488,302,765,2.466,5.434,6.217,3.711,411,106,..
4,"20. la Maternitat i Sant Ramon",9.720,181,363,1.160,2.217,3.144,2.296,206,..,..
4,"21. Pedralbes",4.007,..,..,269,707,1.125,1.062,375,142,171
5,"22. Vallvidrera, el Tibidabo i les Planes",1.026,..,..,123,198,304,212,..,..,..
5,"23. Sarrià",9.428,..,571,1.242,1.931,2.389,1.885,800,278,275
5,"24. les Tres Torres",5.687,..,294,429,780,1.448,1.602,767,211,126
5,"25. Sant Gervasi - la Bonanova",9.715,174,517,1.007,1.773,2.497,2.289,914,315,230
5,"26. Sant Gervasi - Galvany",18.387,276,681,1.822,3.901,4.705,3.607,1.777,847,771
5,"27. el Putxet i el Farró",12.765,389,759,1.359,2.818,3.846,2.471,621,267,237
6,"28. Vallcarca i els Penitents",7.349,..,598,960,1.899,2.188,1.186,178,172,..
6,"29. el Coll",3.387,..,269,684,852,1.016,393,..,..,..
6,"30. la Salut",5.274,..,285,666,1.107,1.657,1.244,120,..,..
6,"31. la Vila de Gràcia",23.468,861,2.257,4.219,6.209,6.121,2.489,741,297,274
6,"32. el Camp d'en Grassot i Gràcia Nova",15.538,209,710,2.558,4.590,4.066,2.911,316,..,..
7,"33. el Baix Guinardó",11.792,195,698,1.607,3.155,3.955,1.883,188,..,..
7,"34. Can Baró",3.832,..,186,665,1.091,1.315,548,..,..,..
7,"35. el Guinardó",16.007,239,659,2.811,4.143,5.558,2.203,320,..,..
7,"36. la Font d'en Fargues",3.849,..,153,522,1.012,1.241,651,143,..,..
7,"37. el Carmel",12.620,126,728,2.730,3.456,4.254,1.147,..,..,..
7,"38. la Teixonera",4.989,..,158,1.210,1.496,1.401,608,..,..,..
7,"39. Sant Genís dels Agudells",2.816,..,..,596,779,1.116,227,..,..,..
7,"40. Montbau",2.128,..,168,403,603,694,219,..,..,..
7,"41. la Vall d'Hebron",2.167,..,..,312,555,1.039,174,..,..,..
7,"42. la Clota",197,..,..,..,..,..,..,..,..,..
7,"43. Horta",11.154,..,492,2.163,2.656,4.018,1.501,125,..,..
8,"44. Vilapicina i la Torre Llobeta",11.095,..,266,2.255,3.038,3.765,1.396,215,..,..
8,"45. Porta",11.072,..,346,1.976,3.089,4.464,972,..,..,..
8,"46. el Turó de la Peira",6.321,..,319,1.249,2.254,1.866,424,..,..,..
8,"47. Can Peguera",987,..,136,266,192,300,..,..,..,..
8,"48. la Guineueta",6.898,..,183,759,1.818,2.551,1.472,..,..,..
8,"49. Canyelles",2.619,..,..,521,480,1.227,303,..,..,..
8,"50. les Roquetes",5.312,..,523,1.577,1.302,1.411,391,..,..,..
8,"51. Verdun",5.780,..,426,1.640,1.668,1.568,360,..,..,..
8,"52. la Prosperitat",11.005,..,602,2.140,2.796,4.131,1.194,..,..,..
8,"53. la Trinitat Nova",2.522,..,326,1.104,563,517,..,..,..,..
8,"54. Torre Baró",517,..,..,134,..,..,..,..,..,..
8,"55. Ciutat Meridiana",3.730,..,..,755,1.721,1.112,..,..,..,..
8,"56. Vallbona",428,..,..,..,..,..,..,..,..,..
9,"57. la Trinitat Vella",3.092,..,217,765,908,838,296,..,..,..
9,"58. Baró de Viver",890,..,..,388,201,137,..,..,..,..
9,"59. el Bon Pastor",4.336,..,191,1.331,1.198,1.345,164,..,..,..
9,"60. Sant Andreu",24.576,478,1.180,4.174,6.731,8.277,3.211,330,146,..
9,"61. la Sagrera",12.167,237,601,2.002,3.001,4.031,2.102,139,..,..
9,"62. el Congrés i els Indians",5.963,..,305,1.141,1.578,1.967,819,..,..,..
9,"63. Navas",10.659,..,263,1.530,2.673,4.095,1.819,175,..,..
10,"64. el Camp de l'Arpa del Clot",16.993,317,1.115,2.867,4.889,5.031,2.426,267,..,..
10,"65. el Clot",11.700,280,436,1.722,3.140,4.004,1.920,151,..,..
10,"66. el Parc i la Llacuna del Poblenou",6.202,..,401,845,2.010,1.743,961,..,..,..
10,"67. la Vila Olímpica del Poblenou",3.746,..,245,539,578,1.384,733,201,..,..
10,"68. el Poblenou",13.723,270,856,2.441,4.066,4.175,1.586,207,..,..
10,"69. Diagonal Mar i el Front Marítim del Poblenou",5.734,152,622,1.016,1.810,1.647,428,..,..,..
10,"70. el Besòs i el Maresme",7.611,..,324,2.229,1.983,2.706,276,..,..,..
10,"71. Provençals del Poblenou",8.343,..,334,1.851,2.895,2.519,679,..,..,..
10,"72. Sant Martí de Provençals",11.322,..,467,2.133,3.451,3.746,1.334,..,..,..
10,"73. la Verneda i la Pau",11.683,..,319,2.026,2.951,4.624,1.613,..,..,..
