Dte,Barris,Total,PropiPerCompraTotalmentPagat,PropiPerCompraAmbPagamentsPendents(hipoteques),PropiPerHerenciaODonacio,Llogat,CeditGratuitamentOABaixPreu,AltraForma
BARCELONA,,684.078,257.547,153.835,26.249,205.912,13.327,27.207
1,"1. el Raval",17.752,2.985,3.514,488,9.915,366,484
1,"2. el Barri Gòtic",8.209,1.239,807,255,5.697,..,..
1,"3. la Barceloneta",8.164,1.843,1.869,256,3.719,..,320
1,"4. Sant Pere, Santa Caterina i la Ribera",10.380,1.654,1.946,361,5.874,175,369
2,"5. el Fort Pienc",13.166,4.931,2.599,376,4.644,218,398
2,"6. la Sagrada Família",23.509,8.493,5.376,1.048,7.274,339,979
2,"7. la Dreta de l'Eixample",18.660,5.520,2.484,962,8.496,429,768
2,"8. l'Antiga Esquerra de l'Eixample",17.932,5.559,2.727,894,7.611,379,762
2,"9. la Nova Esquerra de l'Eixample",27.115,9.924,5.403,853,9.234,610,1.091
2,"10. Sant Antoni",17.554,6.217,3.183,672,6.410,367,705
3,"11. el Poble Sec - AEI Parc Montjuïc",16.516,5.144,3.838,568,6.189,265,512
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",309,..,140,..,..,..,..
3,"13. la Marina de Port",11.998,5.233,3.780,306,2.062,201,417
3,"14. la Font de la Guatlla",4.532,1.902,954,166,1.233,..,159
3,"15. Hostafrancs",6.820,2.602,1.394,284,2.214,..,246
3,"16. la Bordeta",8.220,3.581,2.375,261,1.665,..,295
3,"17. Sants - Badal",10.195,4.254,1.986,464,2.994,171,326
3,"18. Sants",19.229,7.279,3.711,712,6.639,245,644
4,"19. les Corts",19.488,8.789,3.920,549,4.935,499,797
4,"20. la Maternitat i Sant Ramon",9.720,4.671,1.853,373,2.244,243,335
4,"21. Pedralbes",4.007,1.885,443,159,1.059,..,362
5,"22. Vallvidrera, el Tibidabo i les Planes",1.026,335,328,..,220,..,..
5,"23. Sarrià",9.428,3.606,1.344,568,2.742,486,682
5,"24. les Tres Torres",5.687,2.474,905,266,1.575,130,337
5,"25. Sant Gervasi - la Bonanova",9.715,3.055,1.758,586,3.597,299,421
5,"26. Sant Gervasi - Galvany",18.387,6.295,2.571,1.211,6.760,664,886
5,"27. el Putxet i el Farró",12.765,4.220,2.272,604,4.696,314,659
6,"28. Vallcarca i els Penitents",7.349,2.711,1.317,354,2.582,..,249
6,"29. el Coll",3.387,1.157,814,..,1.169,..,153
6,"30. la Salut",5.274,2.289,910,257,1.356,136,326
6,"31. la Vila de Gràcia",23.468,5.663,4.542,991,10.853,464,956
6,"32. el Camp d'en Grassot i Gràcia Nova",15.538,6.557,3.029,474,4.485,457,536
7,"33. el Baix Guinardó",11.792,4.913,2.569,525,2.997,198,590
7,"34. Can Baró",3.832,1.586,1.043,267,759,..,..
7,"35. el Guinardó",16.007,6.500,3.671,649,4.299,204,684
7,"36. la Font d'en Fargues",3.849,1.505,1.278,136,649,..,166
7,"37. el Carmel",12.620,5.679,3.315,451,2.576,264,335
7,"38. la Teixonera",4.989,1.954,1.311,155,1.330,..,146
7,"39. Sant Genís dels Agudells",2.816,913,472,..,1.115,..,129
7,"40. Montbau",2.128,1.198,413,..,307,..,..
7,"41. la Vall d'Hebron",2.167,1.233,374,..,421,..,..
7,"42. la Clota",197,..,..,..,..,..,..
7,"43. Horta",11.154,4.853,2.507,652,2.360,253,530
8,"44. Vilapicina i la Torre Llobeta",11.095,4.755,2.854,506,2.424,166,390
8,"45. Porta",11.072,5.128,2.456,426,2.352,171,538
8,"46. el Turó de la Peira",6.321,2.232,1.641,165,1.972,126,185
8,"47. Can Peguera",987,..,169,..,765,..,..
8,"48. la Guineueta",6.898,3.873,1.423,159,1.063,..,311
8,"49. Canyelles",2.619,1.428,697,..,229,..,139
8,"50. les Roquetes",5.312,2.462,1.755,175,574,..,319
8,"51. Verdun",5.780,2.559,1.639,317,870,..,285
8,"52. la Prosperitat",11.005,5.274,2.895,405,1.972,131,327
8,"53. la Trinitat Nova",2.522,1.046,903,112,209,..,131
8,"54. Torre Baró",517,244,173,..,..,..,..
8,"55. Ciutat Meridiana",3.730,1.516,1.154,..,800,..,..
8,"56. Vallbona",428,..,306,..,..,..,..
9,"57. la Trinitat Vella",3.092,964,1.196,..,764,..,..
9,"58. Baró de Viver",890,..,489,..,240,..,..
9,"59. el Bon Pastor",4.336,1.355,1.882,..,818,..,163
9,"60. Sant Andreu",24.576,10.174,7.140,1.120,4.581,307,1.253
9,"61. la Sagrera",12.167,5.063,2.757,269,3.522,163,394
9,"62. el Congrés i els Indians",5.963,2.471,1.397,342,1.389,..,291
9,"63. Navas",10.659,4.614,2.214,414,2.820,201,397
10,"64. el Camp de l'Arpa del Clot",16.993,6.697,3.652,822,5.052,270,500
10,"65. el Clot",11.700,5.306,2.840,276,2.684,194,402
10,"66. el Parc i la Llacuna del Poblenou",6.202,2.801,1.409,180,1.446,..,271
10,"67. la Vila Olímpica del Poblenou",3.746,1.390,1.154,..,812,..,263
10,"68. el Poblenou",13.723,3.909,4.624,417,4.135,268,370
10,"69. Diagonal Mar i el Front Marítim del Poblenou",5.734,1.137,2.828,..,1.519,..,132
10,"70. el Besòs i el Maresme",7.611,3.405,2.226,195,1.176,205,405
10,"71. Provençals del Poblenou",8.343,3.311,2.744,194,1.760,..,207
10,"72. Sant Martí de Provençals",11.322,5.588,2.933,467,1.601,213,519
10,"73. la Verneda i la Pau",11.683,6.261,3.230,368,1.128,208,487
