Dte,Barris,Total,UnImmoble,DosImmobles,TresImmobles,QuatraImmobles," DeCincANou",DeDeuADinou," DeVintAVintINou"," DeTrentaATrentaNou",QuarantaIMes
BARCELONA,,69.830,14.919,3.839,2.716,2.812,12.086,19.750,7.552,3.706,2.450
1,"1. el Raval",1.823,66,..,15,41,503,940,207,29,16
1,"2. el Barri Gòtic",1.029,68,..,..,49,377,464,55,..,..
1,"3. la Barceloneta",1.152,210,34,61,71,373,329,64,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",1.458,35,11,17,67,619,613,63,18,15
2,"5. el Fort Pienc",608,11,..,..,..,31,195,125,161,78
2,"6. la Sagrada Família",1.493,134,58,33,39,174,478,247,221,109
2,"7. la Dreta de l'Eixample",1.832,37,..,..,..,229,1.092,295,100,60
2,"8. l'Antiga Esquerra de l'Eixample",1.485,24,..,..,..,175,783,261,165,57
2,"9. la Nova Esquerra de l'Eixample",1.252,28,..,..,..,62,469,283,250,141
2,"10. Sant Antoni",1.110,30,..,..,..,61,601,180,162,70
3,"11. el Poble Sec - AEI Parc Montjuïc",1.573,128,50,36,52,274,732,210,71,20
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",105,46,23,..,..,10,..,10,..,..
3,"13. la Marina de Port",513,47,29,14,..,32,172,90,50,76
3,"14. la Font de la Guatlla",348,100,14,..,17,41,80,38,17,39
3,"15. Hostafrancs",723,45,20,41,61,221,214,65,32,24
3,"16. la Bordeta",485,31,43,34,34,113,78,63,34,55
3,"17. Sants - Badal",926,95,55,51,39,195,254,143,52,42
3,"18. Sants",2.243,269,189,147,196,622,476,193,97,54
4,"19. les Corts",1.245,176,57,32,43,127,316,217,151,126
4,"20. la Maternitat i Sant Ramon",592,130,28,24,26,77,99,77,51,80
4,"21. Pedralbes",619,344,29,..,..,44,88,65,28,16
5,"22. Vallvidrera, el Tibidabo i les Planes",1.101,1.006,34,15,..,25,..,..,..,..
5,"23. Sarrià",2.020,834,255,124,91,266,303,104,28,15
5,"24. les Tres Torres",627,97,20,10,22,121,279,56,..,15
5,"25. Sant Gervasi - la Bonanova",1.298,464,50,36,42,138,394,101,43,30
5,"26. Sant Gervasi - Galvany",1.748,116,14,23,47,259,864,278,108,39
5,"27. el Putxet i el Farró",1.458,264,80,55,68,237,503,168,64,19
6,"28. Vallcarca i els Penitents",1.271,592,89,60,43,192,179,85,18,13
6,"29. el Coll",571,188,57,35,30,105,122,30,..,..
6,"30. la Salut",543,123,22,22,25,104,142,68,20,17
6,"31. la Vila de Gràcia",3.860,557,259,240,305,1.082,1.068,271,52,26
6,"32. el Camp d'en Grassot i Gràcia Nova",1.168,72,45,30,41,238,384,174,125,59
7,"33. el Baix Guinardó",736,102,20,18,24,88,176,161,93,54
7,"34. Can Baró",672,199,66,53,44,139,112,39,..,11
7,"35. el Guinardó",2.056,429,166,119,115,361,568,222,56,20
7,"36. la Font d'en Fargues",1.014,558,69,54,27,157,114,27,..,..
7,"37. el Carmel",1.787,380,173,131,116,322,435,192,24,14
7,"38. la Teixonera",758,172,67,75,57,162,165,48,..,..
7,"39. Sant Genís dels Agudells",333,167,26,13,..,24,38,22,13,22
7,"40. Montbau",269,109,..,..,..,42,95,..,..,12
7,"41. la Vall d'Hebron",90,10,..,..,..,10,13,..,24,26
7,"42. la Clota",139,102,22,..,..,..,..,..,..,..
7,"43. Horta",2.097,915,160,87,70,341,389,109,23,..
8,"44. Vilapicina i la Torre Llobeta",1.083,119,126,76,38,191,296,158,59,20
8,"45. Porta",814,78,37,33,33,127,235,210,32,29
8,"46. el Turó de la Peira",360,18,..,..,..,46,60,149,45,19
8,"47. Can Peguera",665,611,31,..,..,..,12,..,..,..
8,"48. la Guineueta",292,..,..,..,..,123,50,24,45,48
8,"49. Canyelles",79,..,..,..,..,..,..,..,20,48
8,"50. les Roquetes",926,173,88,72,60,263,208,52,..,..
8,"51. Verdun",599,31,41,30,30,199,200,52,11,..
8,"52. la Prosperitat",1.158,126,81,66,68,253,362,163,27,12
8,"53. la Trinitat Nova",214,..,..,..,..,79,72,46,..,..
8,"54. Torre Baró",488,332,79,33,20,20,..,..,..,..
8,"55. Ciutat Meridiana",253,..,..,..,..,..,213,11,25,..
8,"56. Vallbona",159,108,12,..,..,15,..,..,..,..
9,"57. la Trinitat Vella",619,119,53,48,69,182,127,19,..,..
9,"58. Baró de Viver",66,..,..,..,..,14,23,26,..,..
9,"59. el Bon Pastor",1.079,675,80,20,20,59,142,72,..,..
9,"60. Sant Andreu",3.237,1.289,339,186,141,395,413,232,150,92
9,"61. la Sagrera",702,113,29,28,25,88,126,86,111,96
9,"62. el Congrés i els Indians",695,63,30,34,37,157,304,61,..,..
9,"63. Navas",670,101,63,41,16,82,113,113,101,40
10,"64. el Camp de l'Arpa del Clot",1.831,333,132,118,115,362,426,170,130,45
10,"65. el Clot",800,80,54,19,35,165,210,89,75,73
10,"66. el Parc i la Llacuna del Poblenou",343,16,..,12,10,42,100,65,60,30
10,"67. la Vila Olímpica del Poblenou",445,129,..,..,..,31,222,32,..,..
10,"68. el Poblenou",1.484,193,89,93,92,352,390,184,54,37
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,46,..,..,..,18,113,40,15,39
10,"70. el Besòs i el Maresme",908,525,36,12,..,..,108,104,75,37
10,"71. Provençals del Poblenou",446,95,29,17,21,34,45,55,55,95
10,"72. Sant Martí de Provençals",470,23,..,..,..,..,202,105,54,82
10,"73. la Verneda i la Pau",429,..,..,..,..,..,133,106,103,86
