Dte,Barris,Total,Cap,UnaPlanta,DuesPlantes,TresPlantesOMes
BARCELONA,,69.830,66.791,2.955,673,298
1,"1. el Raval",1.823,1.801,19,..,..
1,"2. el Barri Gòtic",1.029,1.019,10,..,..
1,"3. la Barceloneta",1.152,1.152,..,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",1.458,1.441,11,..,..
2,"5. el Fort Pienc",608,592,15,..,..
2,"6. la Sagrada Família",1.493,1.433,14,..,39
2,"7. la Dreta de l'Eixample",1.832,1.706,87,11,28
2,"8. l'Antiga Esquerra de l'Eixample",1.485,1.437,22,..,18
2,"9. la Nova Esquerra de l'Eixample",1.252,1.190,56,..,..
2,"10. Sant Antoni",1.110,1.089,19,..,..
3,"11. el Poble Sec - AEI Parc Montjuïc",1.573,1.537,26,..,..
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",105,105,..,..,..
3,"13. la Marina de Port",513,459,41,11,..
3,"14. la Font de la Guatlla",348,343,..,..,..
3,"15. Hostafrancs",723,721,..,..,..
3,"16. la Bordeta",485,480,..,..,..
3,"17. Sants - Badal",926,894,13,14,..
3,"18. Sants",2.243,2.174,44,19,..
4,"19. les Corts",1.245,983,131,85,46
4,"20. la Maternitat i Sant Ramon",592,511,49,24,..
4,"21. Pedralbes",619,376,171,54,18
5,"22. Vallvidrera, el Tibidabo i les Planes",1.101,842,210,49,..
5,"23. Sarrià",2.020,1.964,49,..,..
5,"24. les Tres Torres",627,598,22,..,..
5,"25. Sant Gervasi - la Bonanova",1.298,1.230,64,..,..
5,"26. Sant Gervasi - Galvany",1.748,1.517,189,27,15
5,"27. el Putxet i el Farró",1.458,1.395,55,..,..
6,"28. Vallcarca i els Penitents",1.271,1.199,58,12,..
6,"29. el Coll",571,499,56,12,..
6,"30. la Salut",543,523,14,..,..
6,"31. la Vila de Gràcia",3.860,3.829,23,..,..
6,"32. el Camp d'en Grassot i Gràcia Nova",1.168,1.147,20,..,..
7,"33. el Baix Guinardó",736,709,23,..,..
7,"34. Can Baró",672,617,49,..,..
7,"35. el Guinardó",2.056,1.877,127,40,12
7,"36. la Font d'en Fargues",1.014,906,90,12,..
7,"37. el Carmel",1.787,1.604,121,45,17
7,"38. la Teixonera",758,669,54,18,17
7,"39. Sant Genís dels Agudells",333,226,73,28,..
7,"40. Montbau",269,230,39,..,..
7,"41. la Vall d'Hebron",90,78,12,..,..
7,"42. la Clota",139,138,..,..,..
7,"43. Horta",2.097,1.999,82,15,..
8,"44. Vilapicina i la Torre Llobeta",1.083,1.050,22,11,..
8,"45. Porta",814,746,50,17,..
8,"46. el Turó de la Peira",360,293,49,14,..
8,"47. Can Peguera",665,663,..,..,..
8,"48. la Guineueta",292,285,..,..,..
8,"49. Canyelles",79,78,..,..,..
8,"50. les Roquetes",926,890,32,..,..
8,"51. Verdun",599,592,..,..,..
8,"52. la Prosperitat",1.158,1.112,42,..,..
8,"53. la Trinitat Nova",214,185,29,..,..
8,"54. Torre Baró",488,481,..,..,..
8,"55. Ciutat Meridiana",253,104,149,..,..
8,"56. Vallbona",159,144,13,..,..
9,"57. la Trinitat Vella",619,601,13,..,..
9,"58. Baró de Viver",66,65,..,..,..
9,"59. el Bon Pastor",1.079,1.069,..,..,..
9,"60. Sant Andreu",3.237,3.216,17,..,..
9,"61. la Sagrera",702,694,..,..,..
9,"62. el Congrés i els Indians",695,692,..,..,..
9,"63. Navas",670,512,114,41,..
10,"64. el Camp de l'Arpa del Clot",1.831,1.808,21,..,..
10,"65. el Clot",800,769,25,..,..
10,"66. el Parc i la Llacuna del Poblenou",343,340,..,..,..
10,"67. la Vila Olímpica del Poblenou",445,434,10,..,..
10,"68. el Poblenou",1.484,1.473,..,..,..
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,285,..,..,..
10,"70. el Besòs i el Maresme",908,896,12,..,..
10,"71. Provençals del Poblenou",446,429,17,..,..
10,"72. Sant Martí de Provençals",470,435,33,..,..
10,"73. la Verneda i la Pau",429,410,19,..,..
