Dte,Barris,Total,TotalAmbCalefaccio,CollectivaOCentral,Individual,AlgunAparellQuePermetEscalfar,SenseCalefaccio
BARCELONA,,684.078,610.188,32.458,363.751,213.979,73.890
1,"1. el Raval",17.752,13.985,655,4.803,8.528,3.767
1,"2. el Barri Gòtic",8.209,7.080,..,2.885,4.077,1.129
1,"3. la Barceloneta",8.164,6.740,..,3.006,3.608,1.424
1,"4. Sant Pere, Santa Caterina i la Ribera",10.380,8.443,172,3.603,4.667,1.937
2,"5. el Fort Pienc",13.166,11.948,280,8.138,3.531,1.218
2,"6. la Sagrada Família",23.509,20.658,910,12.259,7.488,2.852
2,"7. la Dreta de l'Eixample",18.660,17.456,1.332,10.962,5.162,1.204
2,"8. l'Antiga Esquerra de l'Eixample",17.932,16.401,1.175,10.704,4.522,1.531
2,"9. la Nova Esquerra de l'Eixample",27.115,24.367,1.487,16.136,6.744,2.748
2,"10. Sant Antoni",17.554,15.570,650,9.409,5.511,1.985
3,"11. el Poble Sec - AEI Parc Montjuïc",16.516,13.843,523,5.863,7.457,2.673
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",309,192,..,..,..,..
3,"13. la Marina de Port",11.998,10.464,497,5.431,4.536,1.533
3,"14. la Font de la Guatlla",4.532,4.027,161,2.418,1.448,504
3,"15. Hostafrancs",6.820,5.662,214,2.903,2.545,1.158
3,"16. la Bordeta",8.220,7.228,147,3.757,3.324,992
3,"17. Sants - Badal",10.195,8.789,461,4.459,3.870,1.406
3,"18. Sants",19.229,17.030,658,9.256,7.116,2.199
4,"19. les Corts",19.488,18.299,1.029,12.988,4.282,1.190
4,"20. la Maternitat i Sant Ramon",9.720,9.106,475,6.334,2.298,613
4,"21. Pedralbes",4.007,3.906,423,3.205,278,..
5,"22. Vallvidrera, el Tibidabo i les Planes",1.026,999,..,733,190,..
5,"23. Sarrià",9.428,9.013,755,6.893,1.365,415
5,"24. les Tres Torres",5.687,5.640,864,4.454,322,..
5,"25. Sant Gervasi - la Bonanova",9.715,9.354,1.016,7.024,1.314,361
5,"26. Sant Gervasi - Galvany",18.387,17.836,3.254,12.465,2.116,551
5,"27. el Putxet i el Farró",12.765,12.195,918,8.765,2.511,570
6,"28. Vallcarca i els Penitents",7.349,6.716,307,4.712,1.697,633
6,"29. el Coll",3.387,2.861,..,1.794,962,526
6,"30. la Salut",5.274,4.974,250,3.513,1.211,300
6,"31. la Vila de Gràcia",23.468,20.673,897,10.787,8.989,2.795
6,"32. el Camp d'en Grassot i Gràcia Nova",15.538,14.288,566,9.264,4.457,1.250
7,"33. el Baix Guinardó",11.792,10.467,300,6.276,3.890,1.326
7,"34. Can Baró",3.832,3.423,..,2.019,1.342,410
7,"35. el Guinardó",16.007,14.388,476,8.735,5.177,1.619
7,"36. la Font d'en Fargues",3.849,3.715,188,2.823,704,134
7,"37. el Carmel",12.620,10.782,306,5.327,5.149,1.838
7,"38. la Teixonera",4.989,4.441,262,2.656,1.522,549
7,"39. Sant Genís dels Agudells",2.816,2.506,206,1.497,803,310
7,"40. Montbau",2.128,1.953,143,1.106,703,176
7,"41. la Vall d'Hebron",2.167,2.075,221,1.188,666,..
7,"42. la Clota",197,153,..,..,..,..
7,"43. Horta",11.154,10.319,414,6.594,3.310,836
8,"44. Vilapicina i la Torre Llobeta",11.095,10.036,549,6.043,3.444,1.059
8,"45. Porta",11.072,8.965,277,4.915,3.774,2.106
8,"46. el Turó de la Peira",6.321,5.557,187,2.277,3.093,764
8,"47. Can Peguera",987,845,..,403,427,142
8,"48. la Guineueta",6.898,6.370,247,4.229,1.894,528
8,"49. Canyelles",2.619,2.493,243,1.737,513,126
8,"50. les Roquetes",5.312,4.330,..,2.097,2.138,982
8,"51. Verdun",5.780,4.806,..,2.063,2.586,974
8,"52. la Prosperitat",11.005,9.384,308,4.606,4.470,1.620
8,"53. la Trinitat Nova",2.522,2.175,..,1.106,986,347
8,"54. Torre Baró",517,369,..,163,155,149
8,"55. Ciutat Meridiana",3.730,3.325,..,1.846,1.411,405
8,"56. Vallbona",428,428,..,254,..,..
9,"57. la Trinitat Vella",3.092,2.476,..,1.590,803,616
9,"58. Baró de Viver",890,765,..,462,249,125
9,"59. el Bon Pastor",4.336,3.776,299,2.357,1.120,561
9,"60. Sant Andreu",24.576,22.271,1.127,14.018,7.126,2.305
9,"61. la Sagrera",12.167,10.545,361,6.068,4.116,1.622
9,"62. el Congrés i els Indians",5.963,5.110,142,3.054,1.914,852
9,"63. Navas",10.659,9.524,370,5.660,3.494,1.135
10,"64. el Camp de l'Arpa del Clot",16.993,15.100,510,8.468,6.122,1.893
10,"65. el Clot",11.700,10.341,459,6.355,3.527,1.359
10,"66. el Parc i la Llacuna del Poblenou",6.202,5.483,412,3.120,1.951,720
10,"67. la Vila Olímpica del Poblenou",3.746,3.582,262,2.876,444,164
10,"68. el Poblenou",13.723,12.517,875,7.485,4.157,1.206
10,"69. Diagonal Mar i el Front Marítim del Poblenou",5.734,5.350,557,3.631,1.162,384
10,"70. el Besòs i el Maresme",7.611,6.213,280,2.891,3.042,1.399
10,"71. Provençals del Poblenou",8.343,7.553,546,4.323,2.684,790
10,"72. Sant Martí de Provençals",11.322,10.313,294,6.463,3.556,1.009
10,"73. la Verneda i la Pau",11.683,10.225,385,5.938,3.902,1.459
