Dte,Barris,Total,AmbTelefon,SenseTelefon,NC,AmbInternet,SenseInternet
BARCELONA,,684.078,666.972,702,16.403,447.383,236.695
1,"1. el Raval",17.752,17.548,..,..,9.845,7.907
1,"2. el Barri Gòtic",8.209,8.088,..,..,6.168,2.041
1,"3. la Barceloneta",8.164,8.120,..,..,4.428,3.736
1,"4. Sant Pere, Santa Caterina i la Ribera",10.380,10.292,..,..,6.208,4.172
2,"5. el Fort Pienc",13.166,13.061,..,105,9.233,3.933
2,"6. la Sagrada Família",23.509,22.625,..,884,15.572,7.937
2,"7. la Dreta de l'Eixample",18.660,18.382,..,267,13.655,5.004
2,"8. l'Antiga Esquerra de l'Eixample",17.932,17.489,..,377,12.547,5.385
2,"9. la Nova Esquerra de l'Eixample",27.115,26.381,..,734,18.902,8.213
2,"10. Sant Antoni",17.554,17.096,..,458,11.765,5.789
3,"11. el Poble Sec - AEI Parc Montjuïc",16.516,16.490,..,..,9.970,6.547
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",309,309,..,..,121,188
3,"13. la Marina de Port",11.998,11.876,..,122,7.699,4.299
3,"14. la Font de la Guatlla",4.532,4.260,..,271,2.924,1.608
3,"15. Hostafrancs",6.820,6.615,..,205,4.182,2.638
3,"16. la Bordeta",8.220,8.016,..,193,5.622,2.598
3,"17. Sants - Badal",10.195,10.142,..,..,6.654,3.541
3,"18. Sants",19.229,18.384,..,769,12.440,6.789
4,"19. les Corts",19.488,18.833,..,641,13.735,5.754
4,"20. la Maternitat i Sant Ramon",9.720,9.447,..,272,6.787,2.933
4,"21. Pedralbes",4.007,3.962,..,..,3.003,1.004
5,"22. Vallvidrera, el Tibidabo i les Planes",1.026,918,..,..,812,215
5,"23. Sarrià",9.428,9.403,..,..,7.476,1.952
5,"24. les Tres Torres",5.687,5.632,..,..,4.739,948
5,"25. Sant Gervasi - la Bonanova",9.715,9.690,..,..,7.239,2.476
5,"26. Sant Gervasi - Galvany",18.387,17.833,..,507,13.812,4.575
5,"27. el Putxet i el Farró",12.765,12.612,..,142,9.568,3.197
6,"28. Vallcarca i els Penitents",7.349,7.246,..,..,4.952,2.397
6,"29. el Coll",3.387,3.312,..,..,2.184,1.203
6,"30. la Salut",5.274,5.154,..,120,3.798,1.475
6,"31. la Vila de Gràcia",23.468,23.123,..,345,15.952,7.517
6,"32. el Camp d'en Grassot i Gràcia Nova",15.538,15.057,..,480,10.870,4.668
7,"33. el Baix Guinardó",11.792,11.456,..,336,7.710,4.082
7,"34. Can Baró",3.832,3.822,..,..,2.396,1.436
7,"35. el Guinardó",16.007,15.902,..,..,10.679,5.328
7,"36. la Font d'en Fargues",3.849,3.772,..,..,2.771,1.079
7,"37. el Carmel",12.620,12.572,..,..,7.072,5.548
7,"38. la Teixonera",4.989,4.979,..,..,2.896,2.093
7,"39. Sant Genís dels Agudells",2.816,2.816,..,..,1.648,1.168
7,"40. Montbau",2.128,2.011,..,..,1.235,893
7,"41. la Vall d'Hebron",2.167,2.091,..,..,1.311,856
7,"42. la Clota",197,197,..,..,..,..
7,"43. Horta",11.154,11.013,..,141,7.010,4.144
8,"44. Vilapicina i la Torre Llobeta",11.095,10.915,..,165,7.037,4.058
8,"45. Porta",11.072,10.472,..,599,5.851,5.220
8,"46. el Turó de la Peira",6.321,6.290,..,..,3.239,3.082
8,"47. Can Peguera",987,780,..,198,466,521
8,"48. la Guineueta",6.898,6.217,..,681,4.126,2.771
8,"49. Canyelles",2.619,2.619,..,..,1.555,1.063
8,"50. les Roquetes",5.312,5.257,..,..,2.806,2.506
8,"51. Verdun",5.780,5.658,..,..,2.816,2.965
8,"52. la Prosperitat",11.005,10.739,..,254,6.075,4.930
8,"53. la Trinitat Nova",2.522,2.522,..,..,1.308,1.213
8,"54. Torre Baró",517,517,..,..,161,356
8,"55. Ciutat Meridiana",3.730,3.730,..,..,1.464,2.266
8,"56. Vallbona",428,428,..,..,245,183
9,"57. la Trinitat Vella",3.092,3.050,..,..,1.844,1.248
9,"58. Baró de Viver",890,890,..,..,498,392
9,"59. el Bon Pastor",4.336,4.267,..,..,2.589,1.747
9,"60. Sant Andreu",24.576,23.285,..,1.257,16.256,8.320
9,"61. la Sagrera",12.167,11.850,..,281,7.848,4.320
9,"62. el Congrés i els Indians",5.963,5.963,..,..,3.530,2.433
9,"63. Navas",10.659,9.298,..,1.325,6.736,3.923
10,"64. el Camp de l'Arpa del Clot",16.993,16.572,..,421,10.839,6.153
10,"65. el Clot",11.700,11.232,..,458,8.025,3.675
10,"66. el Parc i la Llacuna del Poblenou",6.202,5.872,..,330,4.135,2.067
10,"67. la Vila Olímpica del Poblenou",3.746,3.680,..,..,3.178,568
10,"68. el Poblenou",13.723,13.427,..,230,9.544,4.179
10,"69. Diagonal Mar i el Front Marítim del Poblenou",5.734,5.614,..,120,4.309,1.425
10,"70. el Besòs i el Maresme",7.611,7.553,..,..,4.151,3.461
10,"71. Provençals del Poblenou",8.343,8.178,..,165,5.578,2.765
10,"72. Sant Martí de Provençals",11.322,10.747,183,392,6.873,4.448
10,"73. la Verneda i la Pau",11.683,11.325,..,358,6.637,5.047
