Dte,Barris,Total,FinsATrentaMetresQuadrats,TrentaUnASeixantaMetresQuadrats,SeixantaUnANourantaMetresQuadrats,NourantaUnACentVintMetresQuadrats,CentVintIUnACentCinquantaMetresQuadrats,MesDeCentCinquantaMetresQuadrats
BARCELONA,,684.078,8.649,184.268,348.922,96.794,24.563,20.882
1,"1. el Raval",17.752,632,9.195,5.859,1.574,271,221
1,"2. el Barri Gòtic",8.209,152,2.427,3.022,1.546,589,472
1,"3. la Barceloneta",8.164,1.422,4.154,2.199,324,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",10.380,514,4.362,3.535,1.155,470,344
2,"5. el Fort Pienc",13.166,..,1.977,7.766,2.689,375,231
2,"6. la Sagrada Família",23.509,161,5.175,13.895,3.726,416,137
2,"7. la Dreta de l'Eixample",18.660,375,2.995,6.035,4.688,2.267,2.300
2,"8. l'Antiga Esquerra de l'Eixample",17.932,255,2.659,7.625,5.211,1.486,696
2,"9. la Nova Esquerra de l'Eixample",27.115,321,4.782,14.077,6.448,1.146,341
2,"10. Sant Antoni",17.554,197,3.142,9.588,3.700,734,194
3,"11. el Poble Sec - AEI Parc Montjuïc",16.516,263,7.339,7.611,1.081,125,..
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",309,..,..,218,..,..,..
3,"13. la Marina de Port",11.998,..,2.633,8.402,741,..,..
3,"14. la Font de la Guatlla",4.532,..,1.381,2.396,594,..,..
3,"15. Hostafrancs",6.820,251,2.084,3.654,695,..,..
3,"16. la Bordeta",8.220,..,1.883,5.572,631,..,..
3,"17. Sants - Badal",10.195,..,3.131,5.557,1.254,..,..
3,"18. Sants",19.229,269,5.780,10.047,2.442,351,340
4,"19. les Corts",19.488,170,3.223,10.072,4.501,1.029,494
4,"20. la Maternitat i Sant Ramon",9.720,..,1.508,4.910,2.593,502,133
4,"21. Pedralbes",4.007,..,179,742,1.076,802,1.154
5,"22. Vallvidrera, el Tibidabo i les Planes",1.026,..,149,343,227,103,191
5,"23. Sarrià",9.428,..,1.232,3.034,2.344,1.357,1.393
5,"24. les Tres Torres",5.687,..,479,862,1.347,1.184,1.772
5,"25. Sant Gervasi - la Bonanova",9.715,163,1.360,2.096,2.357,1.793,1.946
5,"26. Sant Gervasi - Galvany",18.387,..,2.026,4.623,4.930,2.654,4.074
5,"27. el Putxet i el Farró",12.765,..,2.369,5.031,3.245,1.147,822
6,"28. Vallcarca i els Penitents",7.349,..,1.979,3.677,868,357,311
6,"29. el Coll",3.387,..,1.346,1.582,325,..,..
6,"30. la Salut",5.274,..,1.016,2.483,1.297,256,168
6,"31. la Vila de Gràcia",23.468,606,7.828,10.607,2.951,718,758
6,"32. el Camp d'en Grassot i Gràcia Nova",15.538,..,3.329,8.911,2.669,425,..
7,"33. el Baix Guinardó",11.792,..,2.966,7.131,1.401,226,..
7,"34. Can Baró",3.832,..,1.091,2.126,460,..,..
7,"35. el Guinardó",16.007,..,5.116,8.395,1.930,305,175
7,"36. la Font d'en Fargues",3.849,..,950,1.733,661,235,216
7,"37. el Carmel",12.620,..,5.453,6.420,512,..,..
7,"38. la Teixonera",4.989,..,1.952,2.551,394,..,..
7,"39. Sant Genís dels Agudells",2.816,..,918,1.716,..,..,..
7,"40. Montbau",2.128,..,1.089,971,..,..,..
7,"41. la Vall d'Hebron",2.167,..,832,1.111,199,..,..
7,"42. la Clota",197,..,..,..,..,..,..
7,"43. Horta",11.154,..,3.535,5.998,1.201,187,105
8,"44. Vilapicina i la Torre Llobeta",11.095,..,2.699,7.169,1.010,..,..
8,"45. Porta",11.072,..,4.086,6.149,587,..,..
8,"46. el Turó de la Peira",6.321,..,2.779,3.244,249,..,..
8,"47. Can Peguera",987,..,711,266,..,..,..
8,"48. la Guineueta",6.898,..,1.300,4.833,706,..,..
8,"49. Canyelles",2.619,..,146,2.251,221,..,..
8,"50. les Roquetes",5.312,..,2.751,2.238,197,..,..
8,"51. Verdun",5.780,..,3.165,2.367,203,..,..
8,"52. la Prosperitat",11.005,..,4.621,5.704,506,..,..
8,"53. la Trinitat Nova",2.522,..,1.631,859,..,..,..
8,"54. Torre Baró",517,..,..,284,..,..,..
8,"55. Ciutat Meridiana",3.730,..,2.512,1.084,..,..,..
8,"56. Vallbona",428,..,..,339,..,..,..
9,"57. la Trinitat Vella",3.092,..,1.455,1.442,121,..,..
9,"58. Baró de Viver",890,..,152,703,..,..,..
9,"59. el Bon Pastor",4.336,..,1.495,2.590,231,..,..
9,"60. Sant Andreu",24.576,148,6.174,14.873,2.721,442,218
9,"61. la Sagrera",12.167,..,3.090,7.824,1.056,..,..
9,"62. el Congrés i els Indians",5.963,..,1.505,3.744,588,..,..
9,"63. Navas",10.659,..,2.086,7.260,1.181,..,..
10,"64. el Camp de l'Arpa del Clot",16.993,..,5.416,9.243,1.980,202,..
10,"65. el Clot",11.700,129,2.148,7.800,1.481,..,..
10,"66. el Parc i la Llacuna del Poblenou",6.202,..,1.365,3.804,776,..,..
10,"67. la Vila Olímpica del Poblenou",3.746,..,504,1.416,1.370,316,..
10,"68. el Poblenou",13.723,133,3.775,7.816,1.801,160,..
10,"69. Diagonal Mar i el Front Marítim del Poblenou",5.734,..,1.049,3.853,669,..,..
10,"70. el Besòs i el Maresme",7.611,..,3.658,3.713,222,..,..
10,"71. Provençals del Poblenou",8.343,..,1.607,6.031,630,..,..
10,"72. Sant Martí de Provençals",11.322,..,2.396,7.839,993,..,..
10,"73. la Verneda i la Pau",11.683,..,2.719,7.911,909,..,..
